Alpha,0.1,,,,,,,,,,,,,,,,,,
,k --> ,,,,,,,,,,,,,,,,,,
14,3.033,3.701,4.111,4.407,4.639,4.829,4.99,5.13,5.253,5.364,5.463,5.554,5.637,5.714,5.785,5.852,5.915,5.973,6.029
15,3.014,3.673,4.076,4.367,4.595,4.782,4.94,5.077,5.198,5.306,5.403,5.492,5.574,5.649,5.719,5.785,5.846,5.904,5.958
16,2.998,3.649,4.046,4.333,4.557,4.741,4.896,5.031,5.15,5.256,5.352,5.439,5.519,5.593,5.662,5.726,5.786,5.843,5.896
17,2.984,3.628,4.02,4.303,4.524,4.705,4.858,4.991,5.108,5.212,5.306,5.392,5.471,5.544,5.612,5.675,5.734,5.79,5.842
18,2.971,3.609,3.997,4.276,4.494,4.673,4.824,4.955,5.071,5.173,5.266,5.351,5.429,5.501,5.567,5.629,5.688,5.743,5.794
19,2.96,3.593,3.977,4.253,4.468,4.645,4.794,4.924,5.037,5.139,5.231,5.314,5.391,5.462,5.528,5.589,5.647,5.701,5.752
20,2.95,3.578,3.958,4.232,4.445,4.62,4.768,4.895,5.008,5.108,5.199,5.282,5.357,5.427,5.492,5.553,5.61,5.663,5.714
21,2.941,3.565,3.942,4.213,4.424,4.597,4.743,4.87,4.981,5.081,5.17,5.252,5.327,5.396,5.46,5.52,5.576,5.629,5.679
22,2.933,3.553,3.927,4.196,4.405,4.577,4.722,4.847,4.957,5.056,5.144,5.225,5.299,5.368,5.431,5.491,5.546,5.599,5.648
23,2.926,3.542,3.914,4.18,4.388,4.558,4.702,4.826,4.935,5.033,5.121,5.201,5.274,5.342,5.405,5.464,5.519,5.571,5.62
24,2.919,3.532,3.901,4.166,4.373,4.541,4.684,4.807,4.915,5.012,5.099,5.179,5.251,5.319,5.381,5.439,5.494,5.545,5.594
25,2.913,3.523,3.89,4.153,4.358,4.526,4.667,4.789,4.897,4.993,5.079,5.158,5.23,5.297,5.359,5.417,5.471,5.522,5.57
26,2.907,3.514,3.88,4.141,4.345,4.511,4.652,4.773,4.88,4.975,5.061,5.139,5.211,5.277,5.339,5.396,5.45,5.5,5.548
27,2.902,3.506,3.87,4.13,4.333,4.498,4.638,4.758,4.864,4.959,5.044,5.122,5.193,5.259,5.32,5.377,5.43,5.48,5.528
28,2.897,3.499,3.861,4.12,4.322,4.486,4.625,4.745,4.85,4.944,5.029,5.106,5.177,5.242,5.302,5.359,5.412,5.462,5.509
29,2.892,3.493,3.853,4.111,4.311,4.475,4.613,4.732,4.837,4.93,5.014,5.091,5.161,5.226,5.286,5.342,5.395,5.445,5.491
30,2.888,3.486,3.845,4.102,4.301,4.464,4.601,4.72,4.824,4.917,5.001,5.077,5.147,5.211,5.271,5.327,5.379,5.429,5.475
31,2.884,3.481,3.838,4.094,4.292,4.454,4.591,4.709,4.812,4.905,4.988,5.064,5.134,5.198,5.257,5.313,5.365,5.414,5.46
32,2.881,3.475,3.832,4.086,4.284,4.445,4.581,4.698,4.802,4.894,4.976,5.052,5.121,5.185,5.244,5.299,5.351,5.4,5.445
33,2.877,3.47,3.825,4.079,4.276,4.436,4.572,4.689,4.791,4.883,4.965,5.04,5.109,5.173,5.232,5.287,5.338,5.386,5.432
34,2.874,3.465,3.82,4.072,4.268,4.428,4.563,4.68,4.782,4.873,4.955,5.03,5.098,5.161,5.22,5.275,5.326,5.374,5.42
35,2.871,3.461,3.814,4.066,4.261,4.421,4.555,4.671,4.773,4.863,4.945,5.02,5.088,5.151,5.209,5.264,5.315,5.362,5.408
36,2.868,3.457,3.809,4.06,4.255,4.414,4.547,4.663,4.764,4.855,4.936,5.01,5.078,5.141,5.199,5.253,5.304,5.352,5.397
37,2.865,3.453,3.804,4.054,4.249,4.407,4.54,4.655,4.756,4.846,4.927,5.001,5.069,5.131,5.189,5.243,5.294,5.341,5.386
38,2.863,3.449,3.799,4.049,4.243,4.4,4.533,4.648,4.749,4.838,4.919,4.993,5.06,5.122,5.18,5.234,5.284,5.331,5.376
39,2.861,3.445,3.795,4.044,4.237,4.394,4.527,4.641,4.741,4.831,4.911,4.985,5.052,5.114,5.171,5.225,5.275,5.322,5.367
40,2.858,3.442,3.791,4.039,4.232,4.388,4.521,4.634,4.735,4.824,4.904,4.977,5.044,5.106,5.163,5.216,5.266,5.313,5.358
48,2.843,3.42,3.764,4.008,4.197,4.351,4.481,4.592,4.69,4.777,4.856,4.927,4.993,5.053,5.109,5.161,5.21,5.256,5.299
60,2.829,3.399,3.737,3.977,4.163,4.314,4.441,4.55,4.646,4.732,4.808,4.878,4.942,5.001,5.056,5.107,5.154,5.199,5.241
80,2.814,3.377,3.711,3.947,4.129,4.277,4.402,4.509,4.603,4.686,4.761,4.829,4.892,4.949,5.003,5.052,5.099,5.142,5.183
120,2.8,3.356,3.685,3.917,4.096,4.241,4.363,4.468,4.56,4.641,4.714,4.781,4.842,4.898,4.95,4.998,5.043,5.086,5.126
240,2.786,3.335,3.659,3.887,4.063,4.205,4.324,4.427,4.517,4.596,4.668,4.733,4.792,4.847,4.897,4.944,4.988,5.03,5.069
Inf,2.772,3.314,3.633,3.858,4.03,4.17,4.286,4.387,4.474,4.552,4.622,4.685,4.743,4.796,4.845,4.891,4.934,4.974,5.012
,,,,,,,,,,,,,,,,,,,
Alpha,0.01,,,,,,,,,,,,,,,,,,
,k --> ,,,,,,,,,,,,,,,,,,
df,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,90.024,135.041,164.258,185.575,202.21,215.769,227.166,236.966,245.542,253.151,259.979,266.165,271.812,277.003,281.803,286.263,290.426,294.328,297.997
2,14.036,19.019,22.294,24.717,26.629,28.201,29.53,30.679,31.689,32.589,33.398,34.134,34.806,35.426,36,36.534,37.034,37.502,37.943
3,8.26,10.619,12.17,13.324,14.241,14.998,15.641,16.199,16.691,17.13,17.526,17.887,18.217,18.522,18.805,19.068,19.315,19.546,19.765
4,6.511,8.12,9.173,9.958,10.583,11.101,11.542,11.925,12.264,12.567,12.84,13.09,13.318,13.53,13.726,13.909,14.081,14.242,14.394
5,5.702,6.976,7.804,8.421,8.913,9.321,9.669,9.971,10.239,10.479,10.696,10.894,11.076,11.244,11.4,11.545,11.682,11.811,11.932
6,5.243,6.331,7.033,7.556,7.972,8.318,8.612,8.869,9.097,9.3,9.485,9.653,9.808,9.951,10.084,10.208,10.325,10.434,10.538
7,4.949,5.919,6.542,7.005,7.373,7.678,7.939,8.166,8.367,8.548,8.711,8.86,8.997,9.124,9.242,9.353,9.456,9.553,9.645
8,4.745,5.635,6.204,6.625,6.959,7.237,7.474,7.68,7.863,8.027,8.176,8.311,8.436,8.552,8.659,8.76,8.854,8.943,9.027
9,4.596,5.428,5.957,6.347,6.657,6.915,7.134,7.325,7.494,7.646,7.784,7.91,8.025,8.132,8.232,8.325,8.412,8.495,8.573
10,4.482,5.27,5.769,6.136,6.428,6.669,6.875,7.054,7.213,7.356,7.485,7.603,7.712,7.812,7.906,7.993,8.075,8.153,8.226
11,4.392,5.146,5.621,5.97,6.247,6.476,6.671,6.841,6.992,7.127,7.25,7.362,7.464,7.56,7.648,7.731,7.809,7.883,7.952
12,4.32,5.046,5.502,5.836,6.101,6.32,6.507,6.67,6.814,6.943,7.06,7.166,7.265,7.356,7.441,7.52,7.594,7.664,7.73
13,4.26,4.964,5.404,5.726,5.981,6.192,6.372,6.528,6.666,6.791,6.903,7.006,7.1,7.188,7.269,7.345,7.417,7.484,7.548
14,4.21,4.895,5.322,5.634,5.881,6.085,6.258,6.409,6.543,6.663,6.772,6.871,6.962,7.047,7.125,7.199,7.268,7.333,7.394
15,4.167,4.836,5.252,5.556,5.796,5.994,6.162,6.309,6.438,6.555,6.66,6.756,6.845,6.927,7.003,7.074,7.141,7.204,7.264
16,4.131,4.786,5.192,5.489,5.722,5.915,6.079,6.222,6.348,6.461,6.564,6.658,6.744,6.823,6.897,6.967,7.032,7.093,7.151
17,4.099,4.742,5.14,5.43,5.659,5.847,6.007,6.147,6.27,6.38,6.48,6.572,6.656,6.733,6.806,6.873,6.937,6.997,7.053
18,4.071,4.703,5.094,5.379,5.603,5.787,5.944,6.081,6.201,6.309,6.407,6.496,6.579,6.655,6.725,6.791,6.854,6.912,6.967
19,4.046,4.669,5.054,5.334,5.553,5.735,5.889,6.022,6.141,6.246,6.342,6.43,6.51,6.585,6.654,6.719,6.78,6.837,6.891
20,4.0237,4.639,5.0178,5.2931,5.5094,5.6875,5.8388,5.9702,6.0864,6.1904,6.2845,6.3704,6.4494,6.5226,6.5906,6.6542,6.7139,6.7701,6.8232
21,4.0042,4.6119,4.9856,5.2569,5.47,5.6453,5.7943,5.9236,6.0379,6.1402,6.2327,6.3172,6.3949,6.4668,6.5337,6.5962,6.6549,6.7101,6.7623
22,3.9864,4.5874,4.9565,5.2243,5.4345,5.6074,5.7541,5.8816,5.9941,6.0949,6.186,6.2692,6.3457,6.4165,6.4823,6.5439,6.6016,6.656,6.7074
23,3.9703,4.5653,4.9302,5.1948,5.4023,5.5729,5.7178,5.8435,5.9545,6.0538,6.1437,6.2257,6.3011,6.3709,6.4358,6.4964,6.5533,6.607,6.6576
24,3.9557,4.5452,4.9063,5.1679,5.373,5.5416,5.6847,5.8088,5.9184,6.0165,6.1052,6.1861,6.2605,6.3294,6.3934,6.4532,6.5094,6.5623,6.6122
25,3.9424,4.5268,4.8844,5.1433,5.3463,5.513,5.6544,5.7771,5.8854,5.9823,6.07,6.1499,6.2234,6.2914,6.3546,6.4137,6.4692,6.5214,6.5707
26,3.9302,4.5099,4.865,5.1215,5.3223,5.4873,5.6266,5.748,5.8552,5.951,6.0376,6.1167,6.1893,6.2565,6.319,6.3774,6.4322,6.4838,6.5326
27,3.9189,4.4944,4.8466,5.1008,5.2998,5.4632,5.6017,5.7218,5.8273,5.9221,6.0079,6.0861,6.158,6.2244,6.2863,6.344,6.3982,6.4493,6.4975
28,3.9078,4.48,4.8296,5.0817,5.279,5.4409,5.5782,5.6972,5.8021,5.896,5.9803,6.0578,6.1289,6.1948,6.256,6.3131,6.3668,6.4173,6.465
29,3.8981,4.4668,4.8138,5.064,5.2597,5.4203,5.5564,5.6743,5.7784,5.8714,5.9555,6.0322,6.1026,6.1672,6.2279,6.2845,6.3376,6.3876,6.4349
30,3.8891,4.4545,4.7992,5.0476,5.2418,5.4012,5.5361,5.6531,5.7563,5.8485,5.9318,6.0079,6.0777,6.1423,6.2023,6.2584,6.3105,6.3601,6.4069
31,3.8807,4.443,4.7856,5.0323,5.2252,5.3833,5.5172,5.6333,5.7357,5.8272,5.9098,5.9852,6.0545,6.1185,6.1781,6.2337,6.2859,6.335,6.3814
32,3.8728,4.4323,4.7729,5.018,5.2096,5.3667,5.4996,5.6149,5.7164,5.8072,5.8893,5.9641,6.0328,6.0964,6.1554,6.2106,6.2623,6.3111,6.3571
33,3.8654,4.4223,4.761,5.0047,5.195,5.3511,5.4831,5.5976,5.6984,5.7886,5.8701,5.9443,6.0125,6.0756,6.1342,6.189,6.2403,6.2886,6.3343
34,3.8585,4.4129,4.7498,4.9921,5.1814,5.3364,5.4677,5.5814,5.6816,5.7711,5.852,5.9258,5.9935,6.0561,6.1143,6.1687,6.2197,6.2676,6.313
35,3.852,4.4041,4.7393,4.9804,5.1685,5.3227,5.4532,5.5662,5.6657,5.7547,5.8351,5.9083,5.9756,6.0378,6.0956,6.1496,6.2002,6.2479,6.2929
36,3.8459,4.3958,4.7294,4.9693,5.1565,5.3098,5.4395,5.5518,5.6508,5.7392,5.8191,5.8919,5.9588,6.0206,6.078,6.1317,6.182,6.2293,6.274
37,3.8402,4.388,4.7201,4.9588,5.1451,5.2976,5.4266,5.5383,5.6367,5.7247,5.8041,5.8764,5.9429,6.0043,6.0614,6.1147,6.1647,6.2117,6.2562
38,3.8347,4.3806,4.7113,4.949,5.1343,5.2861,5.4144,5.5255,5.6234,5.7109,5.7898,5.8618,5.9279,5.989,6.0457,6.0987,6.1484,6.1952,6.2393
39,3.8296,4.3737,4.703,4.9396,5.1241,5.2752,5.4029,5.5135,5.6109,5.6978,5.7764,5.848,5.9137,5.9744,6.0309,6.0836,6.133,6.1795,6.2234
40,3.8247,4.3671,4.6951,4.9308,5.1145,5.2649,5.392,5.502,5.5989,5.6855,5.7636,5.8348,5.9002,5.9606,6.0168,6.0692,6.1183,6.1646,6.2083
41,3.8201,4.3608,4.6877,4.9224,5.1053,5.2551,5.3816,5.4911,5.5876,5.6738,5.7515,5.8224,5.8875,5.9476,6.0034,6.0556,6.1045,6.1505,6.1939
42,3.8156,4.3549,4.6805,4.9144,5.0966,5.2457,5.3718,5.4808,5.5769,5.6626,5.74,5.8106,5.8753,5.9351,5.9907,6.0426,6.0913,6.1371,6.1803
43,3.8115,4.3493,4.6738,4.9068,5.0884,5.2369,5.3624,5.471,5.5666,5.652,5.7291,5.7993,5.8638,5.9233,5.9787,6.0303,6.0787,6.1243,6.1673
44,3.8075,4.3439,4.6673,4.8996,5.0805,5.2285,5.3535,5.4617,5.5569,5.6419,5.7187,5.7886,5.8528,5.9121,5.9671,6.0186,6.0668,6.1121,6.155
45,3.8037,4.3388,4.6612,4.8927,5.073,5.2204,5.345,5.4527,5.5476,5.6323,5.7087,5.7784,5.8423,5.9013,5.9562,6.0074,6.0554,6.1005,6.1432
46,3.8,4.3339,4.6553,4.8861,5.0658,5.2127,5.3369,5.4442,5.5387,5.6231,5.6992,5.7686,5.8323,5.8911,5.9457,5.9967,6.0445,6.0895,6.1319
47,3.7965,4.3293,4.6497,4.8798,5.059,5.2054,5.3291,5.4361,5.5303,5.6143,5.6902,5.7593,5.8227,5.8813,5.9357,5.9865,6.0341,6.0789,6.1212
48,3.7932,4.3248,4.6444,4.8738,5.0524,5.1984,5.3217,5.4283,5.5222,5.6059,5.6815,5.7503,5.8135,5.8719,5.9261,5.9767,6.0241,6.0687,6.1109
49,3.79,4.32,4.6392,4.8681,5.0461,5.1917,5.3146,5.4209,5.5144,5.5979,5.6732,5.7418,5.8048,5.8629,5.9169,5.9673,6.0146,6.059,6.101
50,3.787,4.3159,4.6343,4.8625,5.0401,5.1852,5.3078,5.4137,5.507,5.5902,5.6652,5.7336,5.7964,5.8543,5.9081,5.9584,6.0054,6.0497,6.0916
51,3.7841,4.3119,4.6296,4.8572,5.0343,5.179,5.3012,5.4069,5.4998,5.5828,5.6576,5.7257,5.7883,5.846,5.8997,5.9498,5.9967,6.0408,6.0825
52,3.7812,4.308,4.6251,4.8522,5.0288,5.1731,5.2949,5.4003,5.493,5.5757,5.6503,5.7182,5.7805,5.8381,5.8916,5.9415,5.9883,6.0323,6.0738
53,3.7785,4.3044,4.6207,4.8473,5.0235,5.1674,5.2889,5.394,5.4864,5.5688,5.6432,5.711,5.7731,5.8305,5.8838,5.9335,5.9802,6.024,6.0654
54,3.7759,4.3008,4.6165,4.8426,5.0183,5.1619,5.2831,5.3879,5.48,5.5623,5.6364,5.704,5.7659,5.8232,5.8763,5.9259,5.9724,6.0161,6.0574
55,3.7734,4.2974,4.612,4.838,5.0134,5.1566,5.2775,5.382,5.4739,5.5559,5.6299,5.6973,5.7591,5.8161,5.8691,5.9186,5.9649,6.0085,6.0496
56,3.771,4.2942,4.6082,4.8337,5.0087,5.1516,5.2722,5.3764,5.4681,5.5499,5.6236,5.6908,5.7524,5.8093,5.8622,5.9115,5.9577,6.0011,6.0422
57,3.7687,4.291,4.6045,4.8295,5.0041,5.1467,5.267,5.371,5.4624,5.544,5.6176,5.6846,5.746,5.8028,5.8555,5.9047,5.9507,5.9941,6.035
58,3.7665,4.288,4.6009,4.8255,4.9997,5.142,5.262,5.3657,5.457,5.5383,5.6118,5.6786,5.7399,5.7965,5.849,5.8981,5.944,5.9872,6.028
59,3.7643,4.285,4.5975,4.8216,4.9954,5.1374,5.2572,5.3607,5.4517,5.5329,5.6061,5.6728,5.7339,5.7904,5.8428,5.8917,5.9376,5.9807,6.0214
60,3.7622,4.2822,4.5942,4.8178,4.9913,5.133,5.2525,5.3558,5.4466,5.5276,5.6007,5.6672,5.7282,5.7845,5.8368,5.8856,5.9313,5.9743,6.0149
61,3.7602,4.2795,4.591,4.8141,4.9874,5.1287,5.248,5.3511,5.4417,5.5225,5.5954,5.6618,5.7226,5.7788,5.831,5.8797,5.9253,5.9682,6.0086
62,3.7583,4.2768,4.5879,4.8106,4.9835,5.1246,5.2437,5.3465,5.437,5.5176,5.5903,5.6565,5.7173,5.7733,5.8254,5.8739,5.9194,5.9622,6.0026
63,3.7564,4.2743,4.5849,4.8072,4.9798,5.1207,5.2395,5.3421,5.4324,5.5129,5.5854,5.6515,5.7121,5.768,5.8199,5.8684,5.9138,5.9565,5.9968
64,3.7546,4.2718,4.582,4.8039,4.9762,5.1168,5.2354,5.3379,5.4279,5.5083,5.5807,5.6466,5.7071,5.7629,5.8147,5.863,5.9083,5.9509,5.9911
65,3.7528,4.2694,4.5789,4.8007,4.9727,5.1131,5.2315,5.3337,5.4236,5.5038,5.5761,5.6419,5.7022,5.7579,5.8096,5.8578,5.903,5.9455,5.9856
66,3.7511,4.267,4.5767,4.7976,4.9694,5.1095,5.2277,5.3297,5.4195,5.4995,5.5716,5.6373,5.6975,5.7531,5.8047,5.8528,5.8979,5.9403,5.9803
67,3.7494,4.2648,4.5739,4.7946,4.9661,5.106,5.224,5.3258,5.4154,5.4953,5.5673,5.6328,5.6929,5.7484,5.7999,5.8479,5.8929,5.9353,5.9752
68,3.7478,4.2626,4.5713,4.7917,4.9629,5.1026,5.2204,5.3221,5.4115,5.4912,5.5631,5.6285,5.6885,5.7438,5.7952,5.8432,5.8881,5.9304,5.9702
69,3.7463,4.2605,4.5689,4.7889,4.9599,5.0993,5.2169,5.3184,5.4077,5.4873,5.559,5.6243,5.6842,5.7394,5.7907,5.8386,5.8834,5.9256,5.9654
70,3.7447,4.2584,4.5665,4.7862,4.9569,5.0961,5.2135,5.3149,5.404,5.4835,5.5551,5.6202,5.68,5.7352,5.7864,5.8341,5.8789,5.921,5.9607
71,3.7433,4.2564,4.5642,4.7835,4.954,5.093,5.2102,5.3115,5.4004,5.4797,5.5512,5.6163,5.676,5.731,5.7821,5.8298,5.8745,5.9165,5.9561
